args: Namespace(dataset_dir='./data', log_dir='./logs/lr=0.00010-lr_warmup=500-block_dim=128-layers=2-embed=timestep-schedule=cosine-predict_type=epsilon', figure_dir='./logs/lr=0.00010-lr_warmup=500-block_dim=128-layers=2-embed=timestep-schedule=cosine-predict_type=epsilon/figures', batch_size=64, lr=0.0001, num_epochs=150, sample_size=64, beta_schedule='cosine', predict_type='epsilon', block_dim=128, layers_per_block=2, embed_type='timestep', lr_warmup_steps=500, mixed_precision='fp16', gradient_accumulation_steps=1, seed=1)
[Epoch: 00] loss: 0.24164 | test acc: 0.18056 | new_test acc: 0.11905
[Epoch: 05] loss: 0.00489 | test acc: 0.26389 | new_test acc: 0.38095
[Epoch: 10] loss: 0.00358 | test acc: 0.37500 | new_test acc: 0.66667
[Epoch: 15] loss: 0.00288 | test acc: 0.45833 | new_test acc: 0.50000
[Epoch: 20] loss: 0.00274 | test acc: 0.58333 | new_test acc: 0.67857
[Epoch: 25] loss: 0.00241 | test acc: 0.66667 | new_test acc: 0.77381
[Epoch: 30] loss: 0.00223 | test acc: 0.77778 | new_test acc: 0.76190
[Epoch: 35] loss: 0.00222 | test acc: 0.73611 | new_test acc: 0.80952
[Epoch: 40] loss: 0.00215 | test acc: 0.77778 | new_test acc: 0.76190
[Epoch: 45] loss: 0.00200 | test acc: 0.83333 | new_test acc: 0.80952
[Epoch: 50] loss: 0.00197 | test acc: 0.80556 | new_test acc: 0.82143
[Epoch: 55] loss: 0.00176 | test acc: 0.86111 | new_test acc: 0.84524
[Epoch: 60] loss: 0.00176 | test acc: 0.83333 | new_test acc: 0.85714
[Epoch: 65] loss: 0.00185 | test acc: 0.80556 | new_test acc: 0.91667
[Epoch: 70] loss: 0.00174 | test acc: 0.75000 | new_test acc: 0.86905
[Epoch: 75] loss: 0.00160 | test acc: 0.87500 | new_test acc: 0.73810
[Epoch: 80] loss: 0.00171 | test acc: 0.87500 | new_test acc: 0.85714
[Epoch: 85] loss: 0.00152 | test acc: 0.80556 | new_test acc: 0.85714
[Epoch: 90] loss: 0.00152 | test acc: 0.83333 | new_test acc: 0.95238
[Epoch: 95] loss: 0.00149 | test acc: 0.90278 | new_test acc: 0.90476
[Epoch: 100] loss: 0.00153 | test acc: 0.93056 | new_test acc: 0.88095
[Epoch: 105] loss: 0.00153 | test acc: 0.95833 | new_test acc: 0.88095
[Epoch: 110] loss: 0.00146 | test acc: 0.84722 | new_test acc: 0.92857
[Epoch: 115] loss: 0.00135 | test acc: 0.86111 | new_test acc: 0.96429
[Epoch: 120] loss: 0.00140 | test acc: 0.95833 | new_test acc: 0.91667
[Epoch: 125] loss: 0.00133 | test acc: 0.91667 | new_test acc: 0.92857
[Epoch: 130] loss: 0.00139 | test acc: 0.90278 | new_test acc: 0.90476
[Epoch: 135] loss: 0.00139 | test acc: 0.90278 | new_test acc: 0.89286
[Epoch: 140] loss: 0.00135 | test acc: 0.87500 | new_test acc: 0.88095
[Epoch: 145] loss: 0.00135 | test acc: 0.87500 | new_test acc: 0.88095
[Epoch: 149] loss: 0.00134 | test acc: 0.93056 | new_test acc: 0.97619
